Nom de l'événement,Description optionnelle,Type d'événement,Echelle de l'événement,Lieu,Date de début,Date de fin,Probabilité estimée,Source,Dépend de ?,Contributeur,Date de contribution
Adhésion de la Croatie à la zone euro et à l'espace Schengen,,Politique,Nationale,Croatie,01-01-2023,01-01-2023,100,[Wikipedia 2023](https://fr.wikipedia.org/wiki/2023),,EvtPredict Moderator,28/12/2022
Interdiction de location des logements énergivores,"Les logements classés G sur le diagnostic de performance énergétique (DPE) et dont la consommation énergétique excède 450 kWh par m2 à l’année, seront interdits à la location",Economique,Nationale,:fr:,01-01-2023,,100,"https://lepetitjournal.com/expat-politique/actualites/2023-changements-lois-france-352942#:~:text=D%C3%A8s%20le%201er%20janvier%202023%2C%20les%20logements%20class%C3%A9s%20G%20sur,kWh%2C%20les%20loyers%20seront%20gel%C3%A9s.",,EvtPredict Moderator,29/12/2022
Election présidentielle tchèque,,Politique,Nationale,Tchéquie,13-01-2023,14-01-2023,80,https://fr.wikipedia.org/wiki/2023,,EvtPredict Moderator,28/12/2022
Elections sénatoriales kazakhes,,Politique,Nationale,Kazakhstan,14-01-2023,14-01-2023,80,https://fr.wikipedia.org/wiki/2023,,EvtPredict Moderator,28/12/2022
Référendum slovaque,,Politique,Nationale,Slovaquie,21-01-2023,21-01-2023,80,https://fr.wikipedia.org/wiki/2023,,EvtPredict Moderator,28/12/2022
La comète C/2022 E3 (ZTF) atteint sa luminosité maximale,,Astronomique,Mondiale,,01-02-2023,,100,https://starwalk.space/fr/news/best-celestial-events-2023#20-avril--%C3%A9clipse-solaire-hybride,,EvtPredict Moderator,
Salon de l'agriculture,,Economique,Nationale,:fr:,25-02-2023,05-03-2023,100,https://www.calagenda.fr/histoire-annee-2023.html,,EvtPredict Moderator,
Cérémonie des Oscars,,Culturel,Mondiale,:us:,12-03-2023,,100,https://www.calagenda.fr/histoire-annee-2023.html,,EvtPredict Moderator,
Jupiter Icy Moons Explorer,,Spatial,Mondiale,Jupiter,05-04-2023,,80,https://www.esa.int/Science_Exploration/Space_Science/Juice,,EvtPredict Moderator,29/12/2022
ChatGPT 4,,Technologique,Mondiale,:us:,01-05-2023,,50,,,,
COP28,,Environnement,Mondiale,:ae:,30-11-2023,12-12-2023,100,https://sdg.iisd.org/events/2022-un-climate-change-conference-unfccc-cop-28/,,EvtPredict Moderator,
